staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
54,0.5,1.5,56.334387300000344,,56.31870200000003,56.334387300000344,56.83429960000012,56.83429960000012,56.83429960000012,57.13412030000018,57.53494860000001,left,-1.5,1,1,0.6987885999997161,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
55,0.5,1.5,57.55070400000022,,57.53501700000015,57.55070400000022,58.05080300000009,58.033958800000164,58.033958800000164,58.334002600000076,58.585015099999964,left,-1.5,1,1,0.5498732999999447,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
56,0.5,1.0,58.60072440000022,,58.58507240000017,58.60072440000022,59.100652699999955,59.08402019999994,59.08402019999994,59.383980500000234,59.63480269999991,right,1.0,1,1,0.5376722000000882,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
57,0.5,1.0,59.65068280000014,,59.634859400000096,59.65068280000014,60.150532999999996,60.133799700000054,60.133799700000054,60.4338987000001,60.58448870000029,right,1.0,1,1,0.4346261000000595,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
58,0.5,1.0,60.60045160000027,,60.58454490000031,60.60045160000027,61.100428900000225,61.083886299999904,61.083886299999904,61.38362690000031,61.668074700000034,left,-1.0,1,1,0.582429200000206,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
59,0.5,1.0,61.68363750000026,,61.66813420000017,61.68363750000026,62.18348190000006,62.18348190000006,62.18348190000006,62.48347340000009,62.717734500000006,right,1.0,1,1,0.5203214999996817,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
60,0.5,1.0,62.73348470000019,,62.717791000000034,62.73348470000019,63.23345890000019,63.216851900000165,63.216851900000165,63.51683159999993,63.78409760000022,left,-1.0,1,1,0.5609386999999515,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
61,0.5,1.0,63.79997150000008,,63.78415369999993,63.79997150000008,64.29994990000023,64.28317520000019,64.28317520000019,64.58324020000009,64.78419290000011,right,1.0,0,0,0.485577800000101,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
62,0.5,1.5,64.79994269999997,,64.7842528000001,64.79994269999997,65.29987290000008,65.29987290000008,65.29987290000008,65.59994860000006,65.86727800000017,left,-1.5,1,1,0.551884500000142,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
63,0.5,1.5,65.88319279999996,,65.8673345000002,65.88319279999996,66.38310260000026,66.38310260000026,66.38310260000026,66.68316069999992,66.75015030000031,right,1.5,1,1,0.3605097999998179,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
